Cluster Index	Voxels	MAX	MAX X (vox)	MAX Y (vox)	MAX Z (vox)	COG X (vox)	COG Y (vox)	COG Z (vox)
12	1783	1	49	90	43	46.2	85.8	56.6
11	1667	1	69	66	15	73.3	56.9	26.5
10	1201	1	61	73	23	68.3	76.4	34.9
9	424	1	20	66	16	19.1	64.9	20.9
8	423	1	66	35	45	71.2	35.2	50.3
7	282	1	28	73	26	23.5	77.8	29.1
6	241	1	70	70	56	65.2	69.3	61.2
5	183	1	20	57	28	14.1	50.1	32.9
4	98	1	18	74	36	17.2	75.3	40.1
3	1	1	20	42	51	20	42	51
2	1	1	47	90	29	47	90	29
1	1	1	20	61	28	20	61	28
