Cluster Index	Voxels	MAX	MAX X (vox)	MAX Y (vox)	MAX Z (vox)	COG X (vox)	COG Y (vox)	COG Z (vox)
8	1870	1	15	55	49	45.5	42.6	63.5
7	508	1	61	60	58	58.5	60.2	64.2
6	360	1	30	60	58	31.3	61	64.9
5	84	1	17	66	47	17.5	67.1	51.8
4	76	1	14	33	34	15.9	34	37.3
3	68	1	73	29	36	72.2	31.8	39.5
2	63	1	73	66	49	71.8	65.3	54.5
1	2	1	24	61	59	24	61.5	59
