Cluster Index	Voxels	MAX	MAX X (vox)	MAX Y (vox)	MAX Z (vox)	COG X (vox)	COG Y (vox)	COG Z (vox)
12	1023	1	68	83	37	66.5	74.1	47.5
11	1009	1	21	82	38	22.3	74.2	47.1
10	588	1	60	27	54	63.8	37.1	57.8
9	494	1	27	25	55	24.6	38.2	58.5
8	362	1	71	41	22	73.2	35.3	29.7
7	201	1	16	42	23	14.7	39.2	30
6	114	1	56	66	60	57.1	66.6	64.5
5	103	1	33	68	59	32.2	67.6	63.3
4	22	1	32	81	26	32	80.9	29.1
3	21	1	47	66	50	45.1	62.9	51.3
2	13	1	25	64	61	26.3	64.2	62.9
1	2	1	48	74	60	48	74	60.5
