Cluster Index	Voxels	MAX	MAX X (vox)	MAX Y (vox)	MAX Z (vox)	COG X (vox)	COG Y (vox)	COG Z (vox)
8	2575	1	20	43	22	26.8	32.2	49
7	1697	1	68	42	22	61.8	30.1	47.5
6	5	1	27	61	59	26.4	61	60.4
5	2	1	58	39	30	58	39.5	30
4	2	1	56	41	28	56.5	41	28
3	1	1	21	65	52	21	65	52
2	1	1	16	30	36	16	30	36
1	1	1	58	42	26	58	42	26
