Cluster Index	Voxels	MAX	MAX X (vox)	MAX Y (vox)	MAX Z (vox)	COG X (vox)	COG Y (vox)	COG Z (vox)
8	2648	1	41	83	28	44.7	88	38.6
7	1494	1	47	36	41	45.3	37.6	51.5
6	622	1	21	39	43	19.3	34.3	50.8
5	570	1	64	29	47	67.2	28.9	54.7
4	377	1	56	75	55	56.2	77.4	59.3
3	352	1	31	77	52	33.3	80.7	58
2	232	1	14	60	23	14.1	59.6	26.9
1	4	1	28	79	29	28.5	79.8	30
